open,high,low,volume,log(volume)
2331.81,2332.3,2331.81,1.80370838,0.5898447566886571
2331.05,2331.05,2331.05,0.10371513,-2.2661072727499203
2332.85,2332.85,2332.85,0.54,-0.616186139423817
2334.55,2339.49,2334.55,70.90434733,4.261331748019383
2341.29,2341.36,2337.76,19.03839882,2.946457930238752
2337.69,2337.69,2335.69,1.62354345,0.4846110753686359
2335.0,2341.98,2335.0,3.06382476,1.1196640570312626
2341.38,2341.99,2340.64,3.05660918,1.1173061904441302
2341.0,2349.19,2341.0,6.36458799,1.8507494993565192
2347.92,2349.77,2347.92,1.34515307,0.29650781326976205
2347.87,2350.48,2347.87,9.86602872,2.28909741381481
2348.88,2348.88,2345.25,5.97911171,1.7882720134506043
2346.19,2347.74,2345.25,3.04163222,1.112394285804811
2345.93,2349.01,2345.93,4.97585513,1.6045972412670844
2349.3,2352.02,2348.88,4.7684349,1.5620181378517866
2352.01,2353.0,2347.19,12.83028885,2.5518086920140233
2349.68,2354.84,2349.28,14.53716296,2.676708333397178
2351.4,2356.83,2349.54,24.2419561,3.18808485513999
2357.85,2371.96,2354.48,152.12167966,5.024680724676723
2364.66,2381.23,2364.66,45.1671951,3.810371051214202
2373.75,2377.81,2371.86,21.94272955,3.0884358568627066
2369.02,2382.82,2369.02,13.56282343,2.607332478389606
2377.7,2380.58,2372.51,12.96339235,2.562129412073395
2375.73,2382.86,2375.73,37.33770407,3.620003649078012
2382.44,2384.53,2378.28,49.16729173,3.8952286001834957
2381.18,2381.46,2377.26,17.62028747,2.8690509353579197
2379.01,2391.59,2378.93,74.291418,4.307995440341898
2388.61,2391.62,2385.82,22.86138292,3.129449151725006
2391.21,2397.9,2389.43,33.54881621,3.5130015784434696
2388.18,2389.7,2379.03,28.28856909,3.3424578039706345
2380.94,2387.47,2378.78,17.77499581,2.877792739964945
2385.87,2388.98,2384.05,33.6107476,3.5148458848695805
2388.89,2390.83,2387.45,25.17689551,3.2259267291167983
2388.43,2388.43,2383.65,33.7908213,3.520189206438507
2382.27,2382.27,2378.79,7.63442507,2.032667633936117
2379.79,2380.31,2378.05,16.1098925,2.779433524292628
2376.39,2376.39,2371.18,5.03238535,1.6158940963547617
2372.42,2373.75,2370.62,11.43717228,2.4368687770763775
2375.13,2378.68,2375.12,13.23490009,2.582857286727262
2379.19,2379.94,2379.01,3.42050541,1.229788320857776
2379.99,2380.85,2378.82,25.18670879,3.226316426409539
2378.32,2378.32,2374.13,15.66345433,2.7513302492518497
2374.76,2378.12,2374.76,7.49274559,2.0139352977829357
2377.08,2380.53,2375.24,6.30123943,1.840746348968345
2378.23,2378.23,2378.23,0.12455,-2.0830480372739477
2380.17,2380.69,2378.93,7.380545,1.9988474841242165
2379.92,2380.87,2379.71,8.31081351,2.1175574993827833
2380.15,2382.11,2380.15,10.06658558,2.3092215807133853
2381.73,2381.73,2377.5,9.67226595,2.269262609832722
2378.54,2378.54,2375.8,2.92087599,1.0718835678655578
2377.93,2381.17,2377.18,11.41660299,2.435068698506322
2382.72,2384.16,2371.67,25.06449195,3.2214521812102213
2374.4,2374.7,2372.9,32.99980282,3.496501586297114
2372.44,2376.44,2372.08,18.34229854,2.9092097883100414
2373.69,2375.84,2373.69,8.48822342,2.138679722831432
2375.42,2377.82,2375.04,4.77803021,1.5640283716128047
2379.28,2379.42,2375.67,3.10147221,1.1318769052103346
2377.6,2378.5,2376.75,2.65561081,0.9766746884977514
2375.5,2375.81,2375.5,2.18757233,0.7827924038458498
2378.08,2382.5,2378.07,6.17918422,1.8211862595201593
2382.53,2384.51,2381.23,39.55657892,3.6777320247541816
2386.42,2388.18,2385.53,21.80121253,3.0819655888904745
2386.73,2386.73,2385.14,3.73068749,1.3165925303449684
2387.33,2387.48,2381.84,22.95726911,3.1336346231752095
